=== node 192.168.2.61 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
lxcd087007cf821: 24175068  146321    0    0    0     0          0         0 37809414  133997    0    0    0     0       0          0
lxcea8c224b2497: 74326830  213174    0    0    0     0          0         0 56396904  172089    0    0    0     0       0          0
lxc_health:  155902    2091    0    0    0     0          0         0   186762    2459    0    0    0     0       0          0
lxcd7179665444e: 3344010   39156    0    0    0     0          0         0 101096897   36436    0    0    0     0       0          0
=== node 192.168.2.66 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 22737580476 51643544    0    0    0     0          0         0 22737580476 51643544    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s31f6: 1764789896002 2144034657 25537229 4679588    0 12768639          0   5055761 1823836344287 2320928247    0  470    0     0       0          0
cilium_net: 2882969   30858    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_host:     440       4    0    0    0     0          0         0  2882969   30858    0    0    0     0       0          0
cilium_vxlan: 897896519971 992105702    0    0    0     0          0         0 1187744799587 829181017    0    0    0     0       0          0
lxc5d50cb8f0f73: 432128103 4546699    0    0    0     0          0         0 2393066193 5542822    0    0    0     0       0          0
lxc8f71780cb633: 4810483383 12912566    0    0    0     0          0         0 3263488143 10923477    0    0    0     0       0          0
lxcd05cbe3a6a8c: 1414522433 2320610    0    0    0     0          0         0 256467077 2239182    0    0    0     0       0          0
lxc6fdb3c03597e: 2990786835 14364443    0    0    0     0          0         0 14671580935 16707330    0    0    0     0       0          0
lxc37e1791604f7:   51214     633    0    0    0     0          0         0    45217      82    0    0    0     0       0          0
lxc69c423696988: 2270875142 10378837    0    0    0     0          0         0 2890817096 9710296    0    0    0     0       0          0
